"Commit Hash","Commit Message","File Name","Source Code Before File Path","Source Code After File Path","Diff File Path"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","python3","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_python3_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_python3_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_python3_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","easy_install.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_easy_install.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_easy_install.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_easy_install.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","easy_install.py","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_easy_install.py_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_easy_install.py_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_easy_install.py_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","DESCRIPTION.rst","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_DESCRIPTION.rst_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_DESCRIPTION.rst_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_DESCRIPTION.rst_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","INSTALLER","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_INSTALLER_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_INSTALLER_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_INSTALLER_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","METADATA","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_METADATA_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_METADATA_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_METADATA_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","RECORD","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_RECORD_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_RECORD_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_RECORD_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","WHEEL","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_WHEEL_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_WHEEL_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_WHEEL_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","entry_points.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_entry_points.txt_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_entry_points.txt_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_entry_points.txt_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","metadata.json","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_metadata.json_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_metadata.json_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_metadata.json_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","top_level.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_top_level.txt_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_top_level.txt_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_top_level.txt_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","__init__.py","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb___init__.py_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb___init__.py_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb___init__.py_diff.txt"
