Tool_Pair,Tool1,Tool2,Tool1_CWEs,Tool2_CWEs,Shared_CWEs,Tool1_Unique,Tool2_Unique,Union_CWEs,IoU_Jaccard_Index,Shared_CWE_List,Tool1_Unique_List,Tool2_Unique_List
bandit-codeql,bandit,codeql,13,2,1,12,1,14,0.0714,CWE-22,"CWE-89, CWE-502, CWE-20, CWE-327, CWE-78, CWE-259, CWE-400, CWE-703, CWE-330, CWE-605, CWE-377, CWE-732",CWE-532
bandit-semgrep,bandit,semgrep,13,12,2,11,10,23,0.087,"CWE-502, CWE-22","CWE-89, CWE-20, CWE-259, CWE-327, CWE-78, CWE-400, CWE-703, CWE-330, CWE-605, CWE-377, CWE-732","CWE-706, CWE-319, CWE-321, CWE-79, CWE-134, CWE-939, CWE-353, CWE-942, CWE-352, CWE-250"
codeql-bandit,codeql,bandit,2,13,1,1,12,14,0.0714,CWE-22,CWE-532,"CWE-89, CWE-502, CWE-20, CWE-327, CWE-78, CWE-259, CWE-400, CWE-703, CWE-330, CWE-605, CWE-377, CWE-732"
codeql-semgrep,codeql,semgrep,2,12,1,1,11,13,0.0769,CWE-22,CWE-532,"CWE-502, CWE-706, CWE-319, CWE-321, CWE-79, CWE-134, CWE-939, CWE-353, CWE-942, CWE-352, CWE-250"
semgrep-bandit,semgrep,bandit,12,13,2,10,11,23,0.087,"CWE-502, CWE-22","CWE-706, CWE-319, CWE-321, CWE-79, CWE-134, CWE-939, CWE-353, CWE-942, CWE-352, CWE-250","CWE-89, CWE-20, CWE-259, CWE-327, CWE-78, CWE-400, CWE-703, CWE-330, CWE-605, CWE-377, CWE-732"
semgrep-codeql,semgrep,codeql,12,2,1,11,1,13,0.0769,CWE-22,"CWE-502, CWE-706, CWE-319, CWE-321, CWE-79, CWE-134, CWE-939, CWE-353, CWE-942, CWE-352, CWE-250",CWE-532
